Palavra;Divisão silábica
a;a
á-bê-cê;á-bê-cê
á-é-i-ó-u;á-é-i-ó-u
a-pedido;a-pe·di·do
a-propósito;a-pro·pó·si·to
a-tempo;a-tem·po
à-toa;à-to·a
